FID,x,y
0,9.53275013,104.9458694
1,9.555900574,104.9630585
2,9.546317101,104.9737701
3,9.541718483,104.9836349
4,9.540966034,104.9901199
5,9.538996696,104.9926682
6,9.543091774,104.9975662
7,9.558523178,105.0030594
8,9.480905533,105.1318283
9,9.399346352,105.2621765
10,9.394928932,105.2785568
11,9.397055626,105.2805862
12,9.386943817,105.2967834
13,9.341423988,105.2519836
14,9.335227966,105.2480469
15,9.329082489,105.2486496
16,9.321690559,105.252243
17,9.309868813,105.2618713
18,9.298891068,105.2763519
19,9.279637337,105.2939835
20,9.266343117,105.2799072
21,9.258703232,105.2663956
22,9.253458023,105.2621384
23,9.251280785,105.2579727
24,9.242783546,105.2551422
25,9.237346649,105.2486725
26,9.225880623,105.2397156
27,9.224345207,105.232872
28,9.21374321,105.2325745
29,9.211896896,105.2374268
30,9.209247589,105.2397919
31,9.200505257,105.2397995
32,9.199790955,105.2413177
33,9.204198837,105.2435226
34,9.20303154,105.2467957
35,9.200531006,105.2461548
36,9.198719978,105.2529068
37,9.178462982,105.2613678
38,9.177739143,105.2648087
39,9.180655479,105.2657623
40,9.181192398,105.2712784
41,9.182736397,105.2714157
42,9.182327271,105.2743607
43,9.174886703,105.2787628
44,9.162712097,105.2804031
45,9.162712097,105.2759399
46,9.159502983,105.2666321
47,9.157993317,105.26754
48,9.151373863,105.2633209
49,9.141488075,105.2620926
50,9.138238907,105.2587357
51,9.135401726,105.2526474
52,9.122638702,105.2482224
53,9.119744301,105.2498779
54,9.112246513,105.2468719
55,9.104904175,105.2508087
56,9.100204468,105.2450638
57,9.097129822,105.2467728
58,9.093297005,105.2529984
59,9.091320038,105.2536621
60,9.09454155,105.2632065
61,9.088054657,105.2686234
62,9.084672928,105.2740555
63,9.087809563,105.2807693
64,9.090335846,105.2924194
65,9.089650154,105.2982941
66,9.078662872,105.3100281
67,9.076429367,105.3166656
68,9.071679115,105.3183594
69,9.07063961,105.3262253
70,9.066458702,105.3345871
71,9.067048073,105.3367767
72,9.072278976,105.3407974
73,9.07065773,105.3501358
74,9.071052551,105.3578491
75,9.068407059,105.3589096
76,9.065031052,105.3563461
77,9.062783241,105.3577805
78,9.059807777,105.3660812
79,9.061104774,105.3735962
80,9.0572052,105.3778152
81,9.063302994,105.3839874
82,9.067174911,105.3928986
83,9.061256409,105.3953247
84,9.057909966,105.4034882
85,9.051797867,105.4100723
86,9.043345451,105.4109268
87,9.037283897,105.4188995
